reportDate,slaName,regionName,supportDesk,groupName,contactType,m-SlaTime,m-SlaStage
01-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,73298,0
01-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3096,1
01-21-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,714,1
01-07-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6748,1
01-06-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1994,1
01-05-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,857,1
01-05-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1096,1
01-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5775,1
12-30-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1740,1
04-09-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,621,1
06-10-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,954,1
12-29-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2398,1
12-29-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1481,1
01-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2074,1
02-05-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,31383,0
02-24-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1296,1
02-23-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2388,1
02-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,906,1
02-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1567,1
